id,food,description
"1","Cơm hộp",""
"2","Cơm tấm sườn bì chả",""
"3","Bánh mì chảo",""
"4","Bánh mì kẹp",""
"5","Bún riêu",""
"6","Bún cá chấm",""
"7","Bún chả",""
"8","Phở bò",""
"9","Phở gà",""
"10","Miến gà",""
"11","Miến trộn",""
"12","Mì trộn",""
"13","Mì xào bò",""
"14","Cơm rang dưa bò",""
"15","Bún giả cầy",""
"16","Cơm gà xối mỡ",""
"17","Bún thịt nướng",""
"18","Bún bò Huế",""
"19","Bánh đa cua",""
"20","Bánh cuốn chả",""
"21","Hủ tiếu Nam Vang",""
"22","Mì Quảng",""
"23","Cháo lòng",""
"24","Thịt chó",""
"25","Bún đậu mắm tôm",""
"26","Bún mắm nêm",""
"27","Bún mắm",""
"28","Bún mọc",""
"29","Bún thang",""
"30","Bún cá rô đồng",""
"31","Bún ngan",""
"32","Bún hải sản",""
"33","Bánh canh",""
"34","Hủ tiếu",""
"35","Cháo sườn",""
"36","Rau má","Nơi tôi sinh ra, mảnh đất chan chứa bao la tình thương mặn mà, êm ả. Nới cây rau má mọc trên ngọn núi đá "
"37","Cá rô cây",""
"38","Xôi mặn",""
"39","Xôi xéo",""
"40","Bánh mì thịt nướng",""
"41","Bánh mì bò né",""
"43","Cơm trộn Hàn Quốc",""
"44","Nem nướng nha trang",""
"45","Miến ngan",""
"46","Miến ngan trộn",""
"47","Bún ngan trộn",""
"48","Bún ngan mọc",""
"49","Miến ngan nước",""
"50","Bún vịt",""
"51","Miến vịt",""
"52","Bún mọc sườn",""
"53","Bún dọc mùng",""
"54","Bún cá cay",""
"55","Miến lươn",""
"56","Đồ chay",""
"57","Cơm gà",""
"58","Cháo cá",""
