name,avatar,food,lat,lng,shopee,grab,phone,pay
"Quán Bún Đậu Mắm Tôm Cô Hồng","","|25|","20.780176","106.217192","https://shopeefood.vn/","https://food.grab.com/vn/vi/","0987654321","200"
"Xôi Mặn Bà Tám","","|38|39|","20.779176","106.216292","https://shopeefood.vn/","https://food.grab.com/vn/vi/","","100"
"Cháo Lòng Ông Minh","","|23|35|58|24|","20.780776","106.215192","","https://food.grab.com/vn/vi/","0912345678","300"
"Phở Bò Gánh Ông Tư","","|8|9|","20.778476","106.215392","https://shopeefood.vn/","https://food.grab.com/vn/vi/","0901234567","50"
"Hủ Tiếu Nam Vang Cô Út","","|21|34|33|","20.781376","106.216892","https://shopeefood.vn/","","","70"
"Bún Chả Hàng Quán","","|7|17|","20.777076","106.216492","https://shopeefood.vn/","https://food.grab.com/vn/vi/","","200"
"Bún Riêu Cô Liên","","|5|6|18|28|29|30|32|54|26|15|27|52|53|","20.776376","106.214292","","https://food.grab.com/vn/vi/","0998765432","80"
"Cơm Tấm Ninh Giang 68","","|1|2|14|16|43|57|","20.774776","106.216092","https://shopeefood.vn/","https://food.grab.com/vn/vi/","0988111222","200"
"Bánh Mì Phượng 2","","|3|4|40|41|19|20|","20.773576","106.219492","https://shopeefood.vn/","","","100"
"Mì Quảng Bà Hai","","|22|12|13|11|10|55|","20.785076","106.217692","","https://food.grab.com/vn/vi/","","100"
